dt;Posicion;V Heun;Energia
0,00;12,50;0,88;0,00
0,01;12,50;1,75;0,00
0,02;12,50;2,61;0,00
0,03;12,49;3,46;0,00
0,04;12,49;4,30;0,00
0,05;12,49;5,13;0,00
0,06;12,49;5,94;0,00
0,07;12,48;6,73;0,00
0,08;12,48;7,51;0,00
0,09;12,47;8,26;0,00
0,10;12,47;8,99;0,00
0,11;12,47;9,69;0,00
0,12;12,46;10,36;204,15
0,13;12,46;11,00;204,15
0,14;12,46;11,61;203,16
0,15;12,46;12,19;202,61
0,16;12,46;12,73;202,04
0,17;12,46;13,23;202,04
0,18;12,46;13,69;200,83
0,19;12,46;14,11;200,83
0,20;12,47;14,48;199,53
0,21;12,47;14,82;199,53
0,22;12,48;15,11;198,16
0,23;12,49;15,36;198,16
0,24;12,50;15,56;196,73
0,25;12,52;15,71;196,01
0,26;12,53;15,82;196,01
0,27;12,55;15,88;194,54
0,28;12,56;15,90;194,54
0,29;12,58;15,86;193,07
0,30;12,60;15,79;192,33
0,31;12,62;15,66;192,33
0,32;12,65;15,49;190,89
0,33;12,67;15,27;190,18
0,34;12,69;15,01;190,18
0,35;12,72;14,71;188,80
0,36;12,74;14,36;188,80
0,37;12,76;13,98;187,50
0,38;12,79;13,55;186,87
0,39;12,81;13,09;186,87
0,40;12,83;12,59;185,70
0,41;12,85;12,05;185,15
0,42;12,87;11,49;185,15
0,43;12,88;10,89;184,15
0,44;12,90;10,27;184,15
0,45;12,91;9,63;183,27
0,46;12,92;8,96;183,27
0,47;12,93;8,28;182,53
0,48;12,93;7,60;182,22
0,49;12,93;6,90;182,22
0,50;12,93;6,22;181,71
0,51;12,92;5,55;181,71
0,52;12,91;4,92;181,36
0,53;12,90;4,35;181,36
0,54;12,88;3,87;181,17
0,55;12,86;3,53;181,17
0,56;12,83;3,37;181,13
0,57;12,80;3,42;181,13
0,58;12,77;3,67;181,23
0,59;12,73;4,07;181,33
0,60;12,69;4,59;181,33
0,61;12,64;5,18;181,58
0,62;12,59;5,81;181,58
0,63;12,53;6,47;181,92
0,64;12,48;7,14;181,92
0,65;12,41;7,81;181,92
0,66;12,35;8,47;182,56
0,67;12,28;9,12;182,80
0,68;12,21;9,76;182,80
0,69;12,14;10,38;183,34
0,70;12,06;10,97;183,34
0,71;11,98;11,54;183,93
0,72;11,90;12,07;184,24
0,73;11,82;12,58;184,57
0,74;11,74;13,06;184,57
0,75;11,65;13,50;185,25
0,76;11,56;13,90;185,25
0,77;11,48;14,27;185,98
0,78;11,39;14,60;186,35
0,79;11,30;14,89;186,35
0,80;11,22;15,14;187,13
0,81;11,13;15,34;187,53
0,82;11,05;15,51;187,53
0,83;10,96;15,63;188,33
0,84;10,88;15,71;188,74
0,85;10,80;15,75;188,74
0,86;10,72;15,74;189,57
0,87;10,64;15,70;189,57
0,88;10,56;15,61;190,40
0,89;10,49;15,47;190,82
0,90;10,41;15,30;191,23
0,91;10,34;15,09;191,23
0,92;10,27;14,84;192,05
0,93;10,21;14,54;192,05
0,94;10,14;14,22;192,86
0,95;10,08;13,85;192,86
0,96;10,02;13,46;193,64
0,97;9,96;13,03;193,64
0,98;9,91;12,57;194,39
0,99;9,85;12,08;194,39
1,00;9,80;11,57;195,11
1,01;9,74;11,04;195,46
1,02;9,69;10,48;195,46
1,03;9,64;9,91;196,11
1,04;9,60;9,33;196,11
1,05;9,55;8,75;196,72
1,06;9,50;8,16;196,72
1,07;9,45;7,58;197,28
1,08;9,41;7,02;197,28
1,09;9,36;6,48;197,78
1,10;9,31;5,99;197,78
1,11;9,27;5,55;198,21
1,12;9,22;5,18;198,21
1,13;9,17;4,91;198,57
1,14;9,13;4,75;198,72
1,15;9,08;4,71;198,72
1,16;9,03;4,80;198,94
1,17;8,98;5,01;199,02
1,18;8,94;5,31;199,06
1,19;8,89;5,69;199,08
1,20;8,84;6,13;199,08
1,21;8,79;6,61;199,01
1,22;8,75;7,12;199,01
1,23;8,70;7,65;198,82
1,24;8,66;8,18;198,82
1,25;8,61;8,71;198,49
1,26;8,57;9,23;198,49
1,27;8,52;9,75;198,05
1,28;8,48;10,25;197,78
1,29;8,44;10,73;197,78
1,30;8,40;11,18;197,15
1,31;8,37;11,62;197,15
1,32;8,33;12,02;196,42
1,33;8,30;12,40;196,42
1,34;8,28;12,75;195,59
1,35;8,25;13,07;195,15
1,36;8,23;13,35;195,15
1,37;8,21;13,60;194,19
1,38;8,20;13,82;194,19
1,39;8,18;14,00;194,19
1,40;8,18;14,14;192,64
1,41;8,17;14,25;192,10
1,42;8,17;14,32;192,10
1,43;8,18;14,35;190,98
1,44;8,18;14,35;190,41
1,45;8,19;14,30;190,41
1,46;8,21;14,22;189,26
1,47;8,23;14,11;188,68
1,48;8,25;13,95;188,68
1,49;8,27;13,76;187,52
1,50;8,30;13,54;186,95
1,51;8,33;13,28;186,95
1,52;8,36;12,98;185,81
1,53;8,39;12,65;185,26
1,54;8,43;12,29;185,26
1,55;8,46;11,90;184,18
1,56;8,50;11,47;184,18
1,57;8,54;11,02;183,15
1,58;8,58;10,54;183,15
1,59;8,62;10,03;182,18
1,60;8,66;9,50;182,18
1,61;8,70;8,94;181,28
1,62;8,74;8,37;181,28
1,63;8,77;7,77;180,47
1,64;8,81;7,15;180,10
1,65;8,84;6,52;180,10
1,66;8,88;5,88;179,42
1,67;8,91;5,22;179,12
1,68;8,93;4,56;179,12
1,69;8,96;3,89;178,60
1,70;8,98;3,23;178,38
1,71;9,01;2,59;178,38
1,72;9,03;1,99;178,03
1,73;9,04;1,50;178,03
1,74;9,05;1,26;177,78
1,75;9,07;1,39;177,70
1,76;9,07;1,82;177,70
1,77;9,08;2,38;177,58
1,78;9,08;2,99;177,58
1,79;9,08;3,63;177,50
1,80;9,08;4,27;177,50
1,81;9,07;4,92;177,45
1,82;9,07;5,56;177,45
1,83;9,06;6,19;177,42
1,84;9,05;6,80;177,42
1,85;9,04;7,41;177,42
1,86;9,02;8,00;177,43
1,87;9,01;8,57;177,43
1,88;8,99;9,12;177,46
1,89;8,98;9,65;177,46
1,90;8,96;10,15;177,51
1,91;8,94;10,63;177,55
1,92;8,93;11,09;177,58
1,93;8,91;11,52;177,62
1,94;8,90;11,92;177,66
1,95;8,88;12,29;177,66
1,96;8,87;12,63;177,75
1,97;8,86;12,93;177,80
1,98;8,85;13,21;177,80
1,99;8,84;13,45;177,90
2,00;8,83;13,66;177,90
2,01;8,83;13,83;178,01
2,02;8,83;13,96;178,01
2,03;8,83;14,06;178,11
2,04;8,83;14,13;178,11
2,05;8,84;14,16;178,21
2,06;8,85;14,15;178,21
2,07;8,87;14,11;178,21
2,08;8,88;14,02;178,33
2,09;8,90;13,91;178,33
2,10;8,92;13,76;178,40
2,11;8,95;13,57;178,40
2,12;8,98;13,35;178,45
2,13;9,01;13,10;178,45
2,14;9,04;12,81;178,48
2,15;9,08;12,49;178,48
2,16;9,11;12,15;178,48
2,17;9,15;11,78;178,47
2,18;9,20;11,38;178,45
2,19;9,24;10,95;178,42
2,20;9,28;10,51;178,42
2,21;9,33;10,05;178,33
2,22;9,38;9,57;178,27
2,23;9,43;9,08;178,27
2,24;9,48;8,58;178,12
2,25;9,53;8,08;178,12
2,26;9,58;7,59;177,93
2,27;9,63;7,11;177,81
2,28;9,68;6,64;177,68
2,29;9,73;6,21;177,68
2,30;9,78;5,82;177,37
2,31;9,83;5,49;177,37
2,32;9,88;5,23;177,01
2,33;9,93;5,06;177,01
2,34;9,98;4,98;176,57
2,35;10,03;5,01;176,57
2,36;10,08;5,14;176,04
2,37;10,13;5,35;175,75
2,38;10,18;5,65;175,75
