dt;Posicion;V RK2;Energia
0,00;12,50;0,88;0,00
0,01;12,50;1,75;0,00
0,02;12,50;2,61;0,00
0,03;12,49;3,47;0,00
0,04;12,49;4,31;0,00
0,05;12,49;5,15;0,00
0,06;12,49;5,97;0,00
0,07;12,48;6,77;0,00
0,08;12,48;7,56;0,00
0,09;12,47;8,32;0,00
0,10;12,47;9,06;0,00
0,11;12,47;9,78;0,00
0,12;12,46;10,46;212,12
0,13;12,46;11,12;212,12
0,14;12,46;11,74;211,87
0,15;12,46;12,33;211,87
0,16;12,46;12,89;211,24
0,17;12,46;13,41;211,24
0,18;12,46;13,88;210,24
0,19;12,46;14,32;209,62
0,20;12,47;14,72;209,62
0,21;12,48;15,07;208,12
0,22;12,49;15,37;208,12
0,23;12,50;15,64;208,12
0,24;12,51;15,85;205,37
0,25;12,52;16,02;204,34
0,26;12,54;16,15;204,34
0,27;12,55;16,22;202,18
0,28;12,57;16,25;201,06
0,29;12,59;16,23;201,06
0,30;12,61;16,16;198,78
0,31;12,64;16,04;198,78
0,32;12,66;15,88;196,52
0,33;12,69;15,67;196,52
0,34;12,71;15,42;194,35
0,35;12,74;15,12;194,35
0,36;12,76;14,77;192,35
0,37;12,79;14,38;191,43
0,38;12,81;13,95;190,57
0,39;12,84;13,49;190,57
0,40;12,86;12,98;189,09
0,41;12,88;12,44;189,09
0,42;12,90;11,86;187,94
0,43;12,92;11,25;187,50
0,44;12,94;10,62;187,50
0,45;12,95;9,96;186,90
0,46;12,96;9,27;186,90
0,47;12,97;8,57;186,70
0,48;12,98;7,86;186,70
0,49;12,98;7,14;186,89
0,50;12,98;6,43;186,89
0,51;12,97;5,73;187,45
0,52;12,96;5,07;187,86
0,53;12,95;4,46;188,36
0,54;12,93;3,95;188,36
0,55;12,91;3,57;189,56
0,56;12,89;3,40;190,26
0,57;12,86;3,44;191,00
0,58;12,82;3,70;191,79
0,59;12,78;4,14;191,79
0,60;12,74;4,69;193,42
0,61;12,69;5,32;193,42
0,62;12,64;5,99;195,09
0,63;12,58;6,69;195,09
0,64;12,52;7,41;196,74
0,65;12,46;8,12;197,54
0,66;12,39;8,83;197,54
0,67;12,32;9,53;199,05
0,68;12,25;10,21;199,05
0,69;12,17;10,87;200,44
0,70;12,09;11,51;200,44
0,71;12,01;12,12;201,66
0,72;11,93;12,70;201,66
0,73;11,84;13,25;202,70
0,74;11,75;13,76;203,14
0,75;11,66;14,24;203,54
0,76;11,57;14,68;203,90
0,77;11,48;15,08;203,90
0,78;11,39;15,45;204,47
0,79;11,30;15,77;204,47
0,80;11,21;16,04;204,88
0,81;11,12;16,28;204,88
0,82;11,03;16,46;205,15
0,83;10,95;16,61;205,25
0,84;10,86;16,71;205,25
0,85;10,77;16,76;205,39
0,86;10,69;16,77;205,39
0,87;10,61;16,73;205,50
0,88;10,53;16,65;205,55
0,89;10,45;16,52;205,55
0,90;10,38;16,34;205,69
0,91;10,31;16,13;205,69
0,92;10,24;15,87;205,92
0,93;10,17;15,56;205,92
0,94;10,10;15,22;206,26
0,95;10,04;14,84;206,26
0,96;9,98;14,42;206,76
0,97;9,92;13,97;206,76
0,98;9,86;13,48;207,44
0,99;9,81;12,96;207,44
1,00;9,76;12,42;208,32
1,01;9,71;11,84;208,32
1,02;9,66;11,25;209,40
1,03;9,61;10,63;209,40
1,04;9,56;10,01;210,69
1,05;9,51;9,37;210,69
1,06;9,46;8,73;212,17
1,07;9,42;8,10;212,17
1,08;9,37;7,48;213,80
1,09;9,32;6,89;213,80
1,10;9,28;6,34;215,55
1,11;9,23;5,84;215,55
1,12;9,18;5,43;217,38
1,13;9,13;5,12;218,30
1,14;9,09;4,94;218,30
1,15;9,04;4,90;220,11
1,16;8,99;5,00;220,11
1,17;8,94;5,24;221,84
1,18;8,89;5,59;221,84
1,19;8,84;6,03;223,41
1,20;8,79;6,53;224,12
1,21;8,74;7,08;224,12
1,22;8,69;7,65;225,34
1,23;8,63;8,25;225,34
1,24;8,58;8,85;226,28
1,25;8,53;9,45;226,28
1,26;8,49;10,05;226,90
1,27;8,44;10,63;227,09
1,28;8,39;11,19;227,09
1,29;8,35;11,74;227,20
1,30;8,30;12,26;227,20
1,31;8,26;12,75;226,97
1,32;8,23;13,22;226,97
1,33;8,19;13,65;226,40
1,34;8,16;14,06;226,40
1,35;8,13;14,42;225,51
1,36;8,11;14,75;225,51
1,37;8,09;15,05;224,33
1,38;8,07;15,30;223,64
1,39;8,06;15,52;223,64
1,40;8,05;15,70;222,10
1,41;8,04;15,83;221,25
1,42;8,05;15,93;221,25
1,43;8,05;15,98;219,46
1,44;8,06;15,99;219,46
1,45;8,07;15,96;217,57
1,46;8,09;15,88;216,60
1,47;8,12;15,77;216,60
1,48;8,14;15,61;214,67
1,49;8,17;15,42;214,67
1,50;8,20;15,18;212,79
1,51;8,24;14,90;212,79
1,52;8,28;14,59;211,01
1,53;8,32;14,24;211,01
1,54;8,37;13,85;209,39
1,55;8,41;13,42;208,65
1,56;8,46;12,96;208,65
1,57;8,51;12,47;207,33
1,58;8,55;11,94;207,33
1,59;8,60;11,39;206,27
1,60;8,65;10,80;206,27
1,61;8,70;10,19;205,47
1,62;8,75;9,55;205,47
1,63;8,79;8,89;204,95
1,64;8,84;8,21;204,95
1,65;8,88;7,51;204,73
1,66;8,92;6,79;204,73
1,67;8,95;6,06;204,79
1,68;8,99;5,31;204,79
1,69;9,02;4,57;205,11
1,70;9,05;3,82;205,11
1,71;9,08;3,09;205,70
1,72;9,10;2,39;205,70
1,73;9,12;1,80;206,50
1,74;9,13;1,43;206,50
1,75;9,15;1,48;207,49
1,76;9,16;1,90;207,49
1,77;9,16;2,51;208,58
1,78;9,16;3,21;209,14
1,79;9,16;3,93;209,14
1,80;9,16;4,67;210,25
1,81;9,15;5,40;210,25
1,82;9,14;6,14;211,32
1,83;9,13;6,87;211,32
1,84;9,11;7,58;212,34
1,85;9,09;8,28;212,34
1,86;9,07;8,97;213,25
1,87;9,05;9,63;213,66
1,88;9,03;10,27;213,66
1,89;9,01;10,90;214,37
1,90;8,98;11,49;214,67
1,91;8,96;12,06;214,67
1,92;8,94;12,60;215,15
1,93;8,91;13,11;215,32
1,94;8,89;13,59;215,32
1,95;8,87;14,04;215,52
1,96;8,85;14,45;215,52
1,97;8,83;14,83;215,56
1,98;8,81;15,17;215,56
1,99;8,80;15,47;215,42
2,00;8,78;15,73;215,30
2,01;8,77;15,95;215,30
2,02;8,77;16,13;214,96
2,03;8,77;16,27;214,96
2,04;8,77;16,37;214,51
2,05;8,77;16,43;214,25
2,06;8,78;16,44;214,25
2,07;8,79;16,41;213,71
2,08;8,81;16,34;213,43
2,09;8,83;16,23;213,43
2,10;8,85;16,07;212,88
2,11;8,88;15,87;212,88
2,12;8,91;15,64;212,39
2,13;8,94;15,36;212,39
2,14;8,98;15,04;211,99
2,15;9,02;14,68;211,99
2,16;9,06;14,29;211,71
2,17;9,11;13,86;211,63
2,18;9,16;13,40;211,63
2,19;9,21;12,91;211,60
2,20;9,26;12,39;211,60
2,21;9,32;11,85;211,76
2,22;9,37;11,28;211,76
2,23;9,43;10,70;212,12
2,24;9,48;10,10;212,12
2,25;9,54;9,49;212,66
2,26;9,60;8,88;213,00
2,27;9,66;8,27;213,39
2,28;9,72;7,69;213,39
2,29;9,77;7,13;214,26
2,30;9,83;6,61;214,26
2,31;9,89;6,15;215,25
2,32;9,94;5,78;215,25
2,33;10,00;5,50;216,31
2,34;10,05;5,35;216,31
2,35;10,10;5,34;217,36
2,36;10,16;5,46;217,36
2,37;10,21;5,71;218,35
2,38;10,26;6,07;218,35
