dt;Posicion;V Heun;Energia
0,00;12,50;0,88;0,00
0,01;12,50;1,76;207,05
0,02;12,50;2,64;207,01
0,03;12,49;3,50;206,94
0,04;12,49;4,36;206,84
0,05;12,49;5,20;206,71
0,06;12,48;6,03;206,55
0,07;12,48;6,84;206,37
0,08;12,48;7,63;206,16
0,09;12,47;8,40;205,93
0,10;12,47;9,14;205,67
0,11;12,47;9,86;205,39
0,12;12,46;10,54;205,08
0,13;12,46;11,20;204,75
0,14;12,46;11,82;204,41
0,15;12,46;12,40;204,04
0,16;12,46;12,95;203,65
0,17;12,46;13,46;203,25
0,18;12,46;13,93;202,83
0,19;12,46;14,36;202,40
0,20;12,47;14,74;201,95
0,21;12,48;15,09;201,49
0,22;12,48;15,38;201,02
0,23;12,49;15,64;200,55
0,24;12,51;15,84;200,07
0,25;12,52;16,00;199,58
0,26;12,54;16,11;199,09
0,27;12,55;16,17;198,60
0,28;12,57;16,19;198,11
0,29;12,59;16,16;197,62
0,30;12,61;16,08;197,13
0,31;12,63;15,95;196,65
0,32;12,66;15,78;196,17
0,33;12,68;15,56;195,71
0,34;12,71;15,30;195,25
0,35;12,73;14,99;194,80
0,36;12,75;14,64;194,37
0,37;12,78;14,24;193,95
0,38;12,80;13,81;193,55
0,39;12,83;13,34;193,16
0,40;12,85;12,83;192,79
0,41;12,87;12,29;192,45
0,42;12,89;11,71;192,12
0,43;12,91;11,11;191,82
0,44;12,92;10,48;191,54
0,45;12,94;9,82;191,28
0,46;12,95;9,15;191,05
0,47;12,95;8,46;190,85
0,48;12,96;7,76;190,67
0,49;12,96;7,06;190,52
0,50;12,96;6,37;190,40
0,51;12,95;5,70;190,31
0,52;12,94;5,06;190,25
0,53;12,92;4,49;190,22
0,54;12,90;4,02;190,22
0,55;12,88;3,69;190,25
0,56;12,85;3,55;190,32
0,57;12,82;3,62;190,41
0,58;12,78;3,90;190,54
0,59;12,74;4,33;190,70
0,60;12,70;4,87;190,88
0,61;12,65;5,49;191,11
0,62;12,59;6,16;191,36
0,63;12,54;6,85;191,64
0,64;12,47;7,55;191,95
0,65;12,41;8,25;192,29
0,66;12,34;8,95;192,66
0,67;12,27;9,64;193,06
0,68;12,19;10,31;193,48
0,69;12,11;10,96;193,93
0,70;12,03;11,58;194,41
0,71;11,94;12,18;194,91
0,72;11,86;12,75;195,44
0,73;11,77;13,29;195,98
0,74;11,68;13,79;196,55
0,75;11,59;14,25;197,14
0,76;11,50;14,68;197,74
0,77;11,40;15,07;198,37
0,78;11,31;15,42;199,00
0,79;11,22;15,73;199,66
0,80;11,12;15,99;200,32
0,81;11,03;16,21;201,00
0,82;10,94;16,39;201,68
0,83;10,85;16,52;202,38
0,84;10,76;16,61;203,08
0,85;10,67;16,65;203,78
0,86;10,59;16,65;204,49
0,87;10,50;16,60;205,20
0,88;10,42;16,51;205,91
0,89;10,34;16,38;206,61
0,90;10,26;16,20;207,32
0,91;10,19;15,98;208,02
0,92;10,12;15,72;208,71
0,93;10,05;15,41;209,39
0,94;9,98;15,07;210,07
0,95;9,91;14,70;210,73
0,96;9,85;14,29;211,39
0,97;9,79;13,84;212,03
0,98;9,73;13,36;212,65
0,99;9,67;12,86;213,26
1,00;9,61;12,33;213,85
1,01;9,56;11,77;214,42
1,02;9,50;11,20;214,97
1,03;9,45;10,61;215,50
1,04;9,40;10,01;216,01
1,05;9,35;9,40;216,50
1,06;9,30;8,80;216,96
1,07;9,25;8,20;217,40
1,08;9,20;7,63;217,81
1,09;9,15;7,08;218,20
1,10;9,10;6,57;218,56
1,11;9,05;6,12;218,90
1,12;9,00;5,75;219,21
1,13;8,94;5,48;219,49
1,14;8,89;5,32;219,74
1,15;8,84;5,28;219,97
1,16;8,79;5,37;220,17
1,17;8,73;5,58;220,34
1,18;8,68;5,90;220,49
1,19;8,62;6,29;220,60
1,20;8,57;6,75;220,69
1,21;8,52;7,26;220,76
1,22;8,46;7,80;220,79
1,23;8,41;8,35;220,80
1,24;8,35;8,92;220,79
1,25;8,30;9,48;220,75
1,26;8,24;10,04;220,68
1,27;8,19;10,59;220,60
1,28;8,14;11,13;220,48
1,29;8,09;11,64;220,35
1,30;8,05;12,14;220,19
1,31;8,00;12,61;220,01
1,32;7,96;13,05;219,82
1,33;7,93;13,46;219,60
1,34;7,89;13,83;219,37
1,35;7,86;14,18;219,11
1,36;7,83;14,49;218,84
1,37;7,81;14,76;218,56
1,38;7,79;15,00;218,26
1,39;7,77;15,20;217,95
1,40;7,76;15,36;217,63
1,41;7,76;15,48;217,29
1,42;7,75;15,56;216,95
1,43;7,76;15,61;216,60
1,44;7,77;15,61;216,24
1,45;7,78;15,57;215,87
1,46;7,79;15,49;215,50
1,47;7,82;15,37;215,12
1,48;7,84;15,21;214,74
1,49;7,87;15,02;214,36
1,50;7,90;14,78;213,98
1,51;7,94;14,51;213,60
1,52;7,98;14,20;213,22
1,53;8,02;13,86;212,84
1,54;8,06;13,48;212,47
1,55;8,11;13,07;212,10
1,56;8,15;12,62;211,73
1,57;8,20;12,15;211,38
1,58;8,25;11,64;211,03
1,59;8,30;11,11;210,69
1,60;8,35;10,55;210,36
1,61;8,40;9,96;210,04
1,62;8,45;9,35;209,73
1,63;8,50;8,73;209,44
1,64;8,54;8,08;209,15
1,65;8,59;7,42;208,88
1,66;8,63;6,74;208,63
1,67;8,67;6,06;208,39
1,68;8,71;5,37;208,16
1,69;8,75;4,69;207,95
1,70;8,78;4,02;207,76
1,71;8,81;3,38;207,59
1,72;8,84;2,80;207,43
1,73;8,86;2,34;207,29
1,74;8,88;2,08;207,16
1,75;8,90;2,10;207,06
1,76;8,92;2,40;206,97
1,77;8,93;2,88;206,90
1,78;8,94;3,48;206,85
1,79;8,95;4,13;206,82
1,80;8,95;4,81;206,81
1,81;8,95;5,51;206,81
1,82;8,95;6,21;206,84
1,83;8,95;6,91;206,88
1,84;8,94;7,60;206,94
1,85;8,93;8,28;207,01
1,86;8,92;8,95;207,10
1,87;8,91;9,60;207,21
1,88;8,90;10,23;207,34
1,89;8,89;10,84;207,48
1,90;8,87;11,42;207,63
1,91;8,86;11,98;207,80
1,92;8,85;12,51;207,99
1,93;8,83;13,01;208,18
1,94;8,82;13,49;208,39
1,95;8,81;13,93;208,61
1,96;8,80;14,33;208,84
1,97;8,80;14,71;209,07
1,98;8,79;15,04;209,32
1,99;8,79;15,34;209,57
2,00;8,79;15,61;209,83
2,01;8,79;15,83;210,10
2,02;8,79;16,01;210,37
2,03;8,80;16,16;210,64
2,04;8,82;16,26;210,91
2,05;8,83;16,33;211,19
2,06;8,85;16,35;211,46
2,07;8,87;16,33;211,73
2,08;8,90;16,27;212,00
2,09;8,93;16,17;212,26
2,10;8,97;16,03;212,52
2,11;9,00;15,85;212,78
2,12;9,05;15,63;213,02
2,13;9,09;15,38;213,26
2,14;9,14;15,08;213,48
2,15;9,19;14,76;213,70
2,16;9,24;14,39;213,90
2,17;9,30;14,00;214,08
2,18;9,36;13,58;214,26
2,19;9,42;13,13;214,41
2,20;9,48;12,65;214,55
2,21;9,54;12,15;214,67
2,22;9,61;11,64;214,78
2,23;9,68;11,11;214,86
2,24;9,74;10,57;214,92
2,25;9,81;10,03;214,96
2,26;9,88;9,50;214,98
2,27;9,95;8,97;214,97
2,28;10,01;8,46;214,94
2,29;10,08;7,99;214,89
2,30;10,15;7,56;214,81
2,31;10,22;7,18;214,70
2,32;10,28;6,88;214,57
2,33;10,35;6,66;214,41
2,34;10,42;6,54;214,23
2,35;10,48;6,52;214,01
2,36;10,55;6,61;213,78
2,37;10,61;6,79;213,51
2,38;10,67;7,07;213,22
2,39;10,74;7,42;212,90
2,40;10,80;7,84;212,55
2,41;10,86;8,30;212,18
2,42;10,92;8,80;211,79
2,43;10,98;9,33;211,36
2,44;11,05;9,87;210,92
2,45;11,11;10,41;210,45
2,46;11,17;10,96;209,95
2,47;11,23;11,49;209,43
2,48;11,30;12,02;208,90
2,49;11,36;12,52;208,34
2,50;11,43;13,01;207,76
2,51;11,50;13,47;207,17
2,52;11,56;13,90;206,55
2,53;11,63;14,31;205,92
2,54;11,70;14,68;205,28
2,55;11,77;15,01;204,63
2,56;11,85;15,31;203,96
2,57;11,92;15,57;203,28
2,58;12,00;15,79;202,59
2,59;12,08;15,97;201,90
2,60;12,15;16,11;201,20
2,61;12,23;16,20;200,50
2,62;12,32;16,25;199,79
2,63;12,40;16,25;199,09
2,64;12,48;16,21;198,38
2,65;12,57;16,13;197,68
2,66;12,65;16,00;196,98
2,67;12,74;15,83;196,29
2,68;12,82;15,61;195,60
2,69;12,91;15,35;194,93
2,70;12,99;15,05;194,26
2,71;13,08;14,71;193,61
2,72;13,16;14,32;192,97
2,73;13,25;13,90;192,34
2,74;13,33;13,44;191,74
2,75;13,41;12,94;191,15
2,76;13,49;12,41;190,58
2,77;13,57;11,84;190,03
2,78;13,64;11,24;189,50
2,79;13,72;10,62;188,99
2,80;13,79;9,97;188,51
2,81;13,85;9,30;188,06
2,82;13,92;8,60;187,63
2,83;13,98;7,89;187,22
2,84;14,04;7,17;186,85
2,85;14,09;6,45;186,50
2,86;14,14;5,73;186,19
2,87;14,19;5,02;185,90
2,88;14,23;4,34;185,64
2,89;14,27;3,72;185,42
2,90;14,30;3,20;185,22
2,91;14,33;2,84;185,06
2,92;14,36;2,71;184,92
2,93;14,38;2,83;184,82
2,94;14,40;3,19;184,75
2,95;14,41;3,71;184,72
2,96;14,42;4,32;184,71
2,97;14,42;4,99;184,74
2,98;14,43;5,68;184,79
2,99;14,42;6,39;184,88
3,00;14,42;7,10;185,00
3,01;14,41;7,80;185,14
3,02;14,40;8,49;185,32
3,03;14,38;9,16;185,52
3,04;14,37;9,81;185,76
3,05;14,34;10,44;186,02
3,06;14,32;11,04;186,30
3,07;14,30;11,60;186,61
3,08;14,27;12,14;186,95
3,09;14,24;12,64;187,30
3,10;14,21;13,11;187,68
3,11;14,18;13,54;188,08
3,12;14,15;13,93;188,50
3,13;14,12;14,28;188,94
3,14;14,08;14,59;189,39
3,15;14,05;14,86;189,86
3,16;14,02;15,08;190,34
3,17;13,98;15,26;190,84
3,18;13,95;15,39;191,34
3,19;13,92;15,48;191,86
3,20;13,89;15,53;192,38
3,21;13,85;15,52;192,91
3,22;13,82;15,47;193,44
