dt;Posicion;V Eul-Simpl;Energia
0,00;5,59;2,28;1828,31
0,01;5,54;4,56;1437,82
0,02;5,47;6,82;1440,40
0,03;5,38;9,07;1442,87
0,04;5,27;11,29;1445,20
0,05;5,14;13,49;1447,36
0,06;4,98;15,65;1449,35
0,07;4,80;17,77;1451,12
0,08;4,61;19,85;1452,67
0,09;4,39;21,88;1453,98
0,10;4,15;23,86;1455,02
0,11;3,90;25,78;1455,80
0,12;3,63;27,63;1456,30
0,13;3,34;29,42;1456,50
0,14;3,03;31,14;1456,42
0,15;2,71;32,79;1456,05
0,16;2,38;34,36;1455,39
0,17;2,04;35,86;1454,44
0,18;1,70;37,27;1453,22
0,19;1,35;38,60;1451,74
0,20;1,03;39,85;1450,00
0,21;0,78;41,02;1448,03
0,22;0,70;42,09;1445,84
0,23;0,86;43,09;1443,46
0,24;1,18;44,00;1440,91
0,25;1,56;44,83;1438,21
0,26;1,98;45,57;1435,39
0,27;2,42;46,24;1432,47
0,28;2,88;46,83;1429,48
0,29;3,34;47,35;1426,45
0,30;3,81;47,80;1423,40
0,31;4,29;48,18;1420,36
0,32;4,77;48,51;1417,35
0,33;5,26;48,78;1414,40
0,34;5,75;49,00;1411,51
0,35;6,24;49,17;1408,72
0,36;6,73;49,38;1406,02
0,37;7,22;49,55;1406,86
0,38;7,72;49,70;1407,82
0,39;8,22;49,83;1408,90
0,40;8,72;49,94;1410,09
0,41;9,22;50,04;1411,40
0,42;9,72;50,14;1412,80
0,43;10,22;50,23;1414,29
0,44;10,72;50,32;1415,83
0,45;11,23;50,41;1417,42
0,46;11,73;50,51;1419,02
0,47;12,24;50,61;1420,62
0,48;12,74;50,70;1422,18
0,49;13,25;50,80;1423,70
0,50;13,75;50,90;1425,13
0,51;14,26;50,98;1426,47
0,52;14,77;51,06;1427,69
0,53;15,27;51,12;1428,79
0,54;15,78;51,16;1429,74
0,55;16,29;51,17;1430,54
0,56;16,80;51,15;1431,19
0,57;17,30;51,10;1431,69
0,58;17,81;51,00;1432,03
0,59;18,31;50,85;1432,22
0,60;18,81;50,65;1432,26
0,61;19,31;50,40;1432,17
0,62;19,81;50,08;1431,97
0,63;20,30;49,69;1431,65
0,64;20,79;49,23;1431,25
0,65;21,28;48,70;1430,78
0,66;21,75;48,09;1430,26
0,67;22,22;47,34;1429,71
0,68;22,68;46,50;1425,99
0,69;23,14;45,58;1422,34
0,70;23,58;44,57;1418,80
0,71;24,01;43,48;1415,39
0,72;24,43;42,31;1412,15
0,73;24,84;41,05;1409,09
0,74;25,24;39,70;1406,25
0,75;25,62;38,27;1403,65
0,76;25,99;36,77;1401,31
0,77;26,34;35,18;1399,25
0,78;26,67;33,53;1397,48
0,79;26,99;31,80;1396,01
0,80;27,29;30,00;1394,87
0,81;27,57;28,14;1394,04
0,82;27,84;26,23;1393,55
0,83;28,08;24,26;1393,38
0,84;28,30;22,26;1393,53
0,85;28,50;20,21;1394,00
0,86;28,68;18,15;1394,78
0,87;28,84;16,08;1395,86
0,88;28,98;14,02;1397,22
0,89;29,09;12,00;1398,84
0,90;29,18;10,08;1400,70
0,91;29,25;8,34;1402,79
0,92;29,30;6,95;1405,07
0,93;29,32;6,16;1407,52
0,94;29,32;6,21;1410,12
0,95;29,30;7,08;1412,83
0,96;29,25;8,51;1415,64
0,97;29,19;10,26;1418,51
0,98;29,09;12,18;1421,41
0,99;28,98;14,18;1424,31
1,00;28,85;16,22;1427,20
1,01;28,69;18,26;1430,05
1,02;28,52;20,28;1432,82
1,03;28,32;22,28;1435,51
1,04;28,10;24,24;1438,08
1,05;27,87;26,15;1440,53
1,06;27,62;28,01;1442,84
1,07;27,34;29,80;1444,99
1,08;27,05;31,53;1446,97
1,09;26,75;33,18;1448,79
1,10;26,43;34,76;1450,43
1,11;26,09;36,25;1451,89
1,12;25,74;37,67;1453,18
1,13;25,38;38,99;1454,29
1,14;25,00;40,23;1455,25
1,15;24,62;41,38;1456,05
1,16;24,22;42,43;1456,70
1,17;23,81;43,40;1457,24
1,18;23,40;44,27;1457,66
1,19;22,97;45,05;1457,99
1,20;22,54;45,74;1458,25
1,21;22,11;46,34;1458,46
1,22;21,67;46,85;1458,65
1,23;21,22;47,28;1458,83
1,24;20,77;47,62;1459,03
1,25;20,31;47,89;1459,28
1,26;19,85;48,09;1459,60
1,27;19,39;48,22;1460,01
1,28;18,93;48,29;1460,54
1,29;18,47;48,30;1461,20
1,30;18,01;48,27;1462,03
1,31;17,54;48,20;1463,03
1,32;17,08;48,11;1464,22
1,33;16,61;47,99;1465,62
1,34;16,14;47,87;1467,22
1,35;15,68;47,75;1469,03
1,36;15,21;47,63;1471,05
1,37;14,74;47,54;1473,26
1,38;14,27;47,48;1475,65
1,39;13,80;47,45;1478,19
1,40;13,33;47,46;1480,84
1,41;12,85;47,52;1483,58
1,42;12,38;47,63;1486,36
1,43;11,90;47,78;1489,13
1,44;11,42;47,97;1491,84
1,45;10,94;48,21;1494,45
1,46;10,45;48,47;1496,91
1,47;9,97;48,76;1499,18
1,48;9,48;49,07;1501,23
1,49;8,99;49,38;1503,03
1,50;8,50;49,69;1504,55
1,51;8,01;49,99;1505,79
1,52;7,51;50,26;1506,73
1,53;7,02;50,49;1507,38
1,54;6,53;50,69;1507,75
1,55;6,05;50,83;1507,84
1,56;5,57;50,91;1507,68
1,57;5,10;50,93;1507,28
1,58;4,64;50,87;1506,67
