Numero de particulas;Tiempo medio
0;0,488
0;0,28
0;0,368
0;0,435
0;0,493
0;0,538
0;0,576
0;0,606
0;0,636
0;0,658
0;0,681
0;0,698
0;0,71
0;0,725
0;0,743
0;0,757
0;0,766
0;0,778
0;0,787
0;0,795
0;0,802
0;0,81
0;0,817
0;0,823
0;0,826
0;0,833
0;0,839
0;0,843
0;0,849
0;0,852
0;0,856
0;0,86
0;0,863
0;0,866
0;0,872
0;0,875
0;0,877
0;0,878
0;0,883
0;0,883
0;0,888
0;0,89
0;0,893
0;0,894
0;0,895
0;0,898
0;0,901
0;0,903
1;0,903
1;0,907
1;0,907
1;0,91
1;0,911
1;0,913
1;0,912
2;0,915
2;0,916
2;0,918
2;0,919
2;0,92
3;0,921
3;0,923
3;0,924
3;0,926
3;0,926
3;0,927
3;0,929
4;0,929
4;0,929
4;0,93
4;0,932
4;0,931
5;0,934
5;0,934
5;0,936
5;0,936
5;0,937
5;0,936
5;0,939
5;0,938
5;0,939
5;0,939
6;0,941
6;0,941
6;0,942
6;0,943
7;0,943
7;0,944
7;0,945
7;0,945
7;0,946
7;0,947
8;0,948
8;0,948
8;0,948
8;0,949
8;0,949
8;0,95
9;0,951
9;0,951
9;0,95
10;0,952
10;0,951
10;0,952
10;0,953
10;0,953
11;0,953
11;0,953
11;0,954
160;0,955
161;0,956
161;0,956
161;0,956
161;0,956
161;0,956
162;0,957
311;0,957
311;0,957
311;0,957
311;0,959
311;0,958
460;0,959
460;0,959
460;0,959
460;0,96
460;0,96
461;0,961
461;0,96
610;0,961
610;0,961
610;0,961
610;0,962
610;0,962
760;0,962
760;0,963
760;0,963
760;0,963
760;0,963
760;0,964
760;0,965
761;0,964
761;0,964
761;0,965
910;0,965
911;0,964
911;0,966
911;0,966
1060;0,966
1060;0,966
1061;0,966
1061;0,966
1061;0,967
1061;0,967
1210;0,967
1210;0,967
1211;0,967
1211;0,968
1211;0,968
1211;0,968
1360;0,968
1361;0,968
1361;0,969
1510;0,969
1510;0,969
1510;0,969
1511;0,969
1511;0,969
1660;0,969
1660;0,97
1660;0,97
1661;0,97
1810;0,97
1810;0,971
1810;0,971
1810;0,971
1810;0,971
1960;0,972
1960;0,972
1960;0,972
1960;0,971
1960;0,972
1961;0,972
1961;0,973
1961;0,973
1961;0,973
1961;0,973
1962;0,972
2111;0,97
2111;0,973
2111;0,973
2111;0,973
2111;0,973
2112;0,973
2112;0,974
2261;0,974
2261;0,974
2262;0,974
2262;0,974
2262;0,975
2262;0,975
2262;0,975
2411;0,975
2412;0,975
2412;0,975
2412;0,975
2561;0,976
2561;0,975
2562;0,976
2562;0,975
2562;0,976
2712;0,976
2712;0,976
2712;0,976
2712;0,976
2712;0,975
2712;0,976
2862;0,977
2862;0,977
2862;0,977
2862;0,977
2862;0,977
3012;0,977
3012;0,975
3012;0,977
3012;0,977
3012;0,977
3161;0,976
3162;0,977
3162;0,975
3162;0,978
3162;0,977
3311;0,975
3311;0,978
3311;0,978
3312;0,978
3312;0,978
3312;0,978
3461;0,978
3461;0,978
3462;0,978
3462;0,978
3462;0,978
3611;0,978
3611;0,979
3611;0,978
3612;0,979
3612;0,979
3761;0,978
3761;0,979
3761;0,978
3762;0,979
3762;0,979
3762;0,977
3911;0,979
3911;0,979
3911;0,979
3912;0,978
4061;0,979
4061;0,977
4061;0,979
4061;0,978
4061;0,978
4062;0,979
4211;0,979
4211;0,979
4211;0,979
4211;0,979
4212;0,979
4361;0,979
4361;0,979
4361;0,979
4510;0,979
4510;0,979
4510;0,979
4510;0,98
4510;0,98
4510;0,979
4659;0,98
4659;0,98
4659;0,979
4659;0,98
4659;0,98
4808;0,978
4808;0,98
4808;0,98
4808;0,98
4808;0,98
4808;0,98
4957;0,98
4957;0,98
4957;0,98
4957;0,98
4957;0,98
4957;0,98
4957;0,98
5106;0,981
5106;0,981
5106;0,981
5106;0,98
5106;0,981
5255;0,981
5255;0,981
5255;0,981
5255;0,981
5255;0,981
5255;0,981
5404;0,981
5404;0,981
5404;0,981
5404;0,981
5404;0,981
5553;0,982
5553;0,982
5553;0,981
5553;0,982
5553;0,982
5553;0,982
5702;0,982
5702;0,982
5702;0,982
5702;0,982
5702;0,982
5702;0,982
5851;0,982
5851;0,982
5851;0,983
5851;0,983
5851;0,982
6000;0,983
6000;0,983
6000;0,983
6000;0,983
6000;0,983
6000;0,983
6000;0,983
6000;0,983
6000;0,983
6000;0,983
